INSTANCE;VALUE_GR;WEIGHT_GR;EXECUTION_TIME_GR
problem_10_50_1_1;159;50;0.000000
problem_10_50_1_2;214;61;0.000000
problem_10_50_1_3;184;100;0.000000
problem_10_50_1_4;246;221;0.000000
problem_10_50_1_5;213;242;0.000000
problem_10_50_2_1;63;48;0.000000
problem_10_50_2_2;45;30;0.000000
problem_10_50_2_3;113;102;0.000000
problem_10_50_2_4;195;185;0.000000
problem_10_50_2_5;226;222;0.000000
problem_10_50_3_1;73;43;0.000000
problem_10_50_3_2;126;66;0.000000
problem_10_50_3_3;182;112;0.000000
problem_10_50_3_4;283;213;0.000000
problem_10_50_3_5;287;197;0.000000
problem_10_50_4_1;35;35;0.000000
problem_10_50_4_2;50;50;0.000000
problem_10_50_4_3;92;92;0.000000
problem_10_50_4_4;229;229;0.000000
problem_10_50_4_5;168;168;0.000000
problem_10_100_1_1;198;86;0.000000
problem_10_100_1_2;371;145;0.000000
problem_10_100_1_3;323;321;0.000000
problem_10_100_1_4;507;462;0.000000
problem_10_100_1_5;481;433;0.001000
problem_10_100_2_1;117;100;0.000000
problem_10_100_2_2;94;82;0.000000
problem_10_100_2_3;294;273;0.000000
problem_10_100_2_4;481;441;0.001000
problem_10_100_2_5;426;425;0.000000
problem_10_100_3_1;141;91;0.000000
problem_10_100_3_2;183;123;0.000000
problem_10_100_3_3;248;188;0.000000
problem_10_100_3_4;433;363;0.000000
problem_10_100_3_5;501;421;0.000000
problem_10_100_4_1;85;85;0.000000
problem_10_100_4_2;117;117;0.000000
problem_10_100_4_3;192;192;0.000000
problem_10_100_4_4;429;429;0.000000
problem_10_100_4_5;468;468;0.000000
problem_10_500_1_1;873;291;0.000000
problem_10_500_1_2;1390;722;0.000000
problem_10_500_1_3;2348;782;0.000000
problem_10_500_1_4;2348;1357;0.000000
problem_10_500_1_5;2814;2805;0.000000
problem_10_500_2_1;375;326;0.000000
problem_10_500_2_2;831;740;0.000000
problem_10_500_2_3;778;714;0.000000
problem_10_500_2_4;1493;1289;0.000000
problem_10_500_2_5;2878;2754;0.000000
problem_10_500_3_1;537;497;0.000000
problem_10_500_3_2;1017;977;0.000000
problem_10_500_3_3;792;722;0.000000
problem_10_500_3_4;1642;1562;0.000000
problem_10_500_3_5;2851;2771;0.000000
problem_10_500_4_1;485;485;0.000000
problem_10_500_4_2;1098;1098;0.000000
problem_10_500_4_3;792;792;0.000000
problem_10_500_4_4;1600;1600;0.000000
problem_10_500_4_5;3068;3068;0.000000
problem_10_1000_1_1;2098;786;0.000000
problem_10_1000_1_2;4084;1785;0.000000
problem_10_1000_1_3;2993;2320;0.000000
problem_10_1000_1_4;4649;2367;0.000000
problem_10_1000_1_5;4213;5123;0.000000
problem_10_1000_2_1;1207;991;0.001001
problem_10_1000_2_2;2047;1819;0.000000
problem_10_1000_2_3;2661;2355;0.000000
problem_10_1000_2_4;2476;2184;0.000000
problem_10_1000_2_5;4959;4930;0.000000
problem_10_1000_3_1;1030;990;0.000000
problem_10_1000_3_2;2182;2132;0.000000
problem_10_1000_3_3;2264;2204;0.000000
problem_10_1000_3_4;2549;2469;0.001001
problem_10_1000_3_5;4006;3926;0.000000
problem_10_1000_4_1;905;905;0.000000
problem_10_1000_4_2;1598;1598;0.000000
problem_10_1000_4_3;2261;2261;0.000000
problem_10_1000_4_4;2600;2600;0.000000
problem_10_1000_4_5;4568;4568;0.000000
problem_50_50_1_1;581;245;0.000000
problem_50_50_1_2;891;354;0.000000
problem_50_50_1_3;953;637;0.000000
problem_50_50_1_4;1170;853;0.001001
problem_50_50_1_5;1087;1080;0.000000
problem_50_50_2_1;283;232;0.000000
problem_50_50_2_2;432;363;0.000000
problem_50_50_2_3;692;643;0.000000
problem_50_50_2_4;928;850;0.000000
problem_50_50_2_5;1091;1060;0.000000
problem_50_50_3_1;404;224;0.000000
problem_50_50_3_2;700;390;0.000000
problem_50_50_3_3;998;658;0.000000
problem_50_50_3_4;1212;802;0.000000
problem_50_50_3_5;1431;981;0.000000
problem_50_50_4_1;239;239;0.000000
problem_50_50_4_2;378;378;0.000000
problem_50_50_4_3;651;651;0.000000
problem_50_50_4_4;803;803;0.000000
problem_50_50_4_5;994;994;0.000000
problem_50_100_1_1;1067;425;0.000000
problem_50_100_1_2;1730;798;0.000000
problem_50_100_1_3;1866;1330;0.000000
