INSTANCE;VALUE_BNB;WEIGHT_BNB;EXECUTION_TIME_BNB
problem_10_50_1_1;159;50;0.000000
problem_10_50_1_2;214;61;0.000000
problem_10_50_1_3;193;108;0.000000
problem_10_50_1_4;246;221;0.000000
problem_10_50_1_5;213;242;0.000000
problem_10_50_2_1;64;50;0.000000
problem_10_50_2_2;76;58;0.000000
problem_10_50_2_3;130;122;0.000000
problem_10_50_2_4;219;214;0.000000
problem_10_50_2_5;226;222;0.000000
problem_10_50_3_1;73;43;0.000000
problem_10_50_3_2;126;66;0.000000
problem_10_50_3_3;182;112;0.000000
problem_10_50_3_4;283;213;0.000000
problem_10_50_3_5;287;197;0.001001
problem_10_50_4_1;41;41;0.000000
problem_10_50_4_2;79;79;0.000000
problem_10_50_4_3;111;111;0.000000
problem_10_50_4_4;229;229;0.000000
problem_10_50_4_5;197;197;0.001008
problem_10_100_1_1;198;86;0.000000
problem_10_100_1_2;371;145;0.000000
problem_10_100_1_3;323;321;0.000000
problem_10_100_1_4;507;462;0.000000
problem_10_100_1_5;481;433;0.000000
problem_10_100_2_1;117;100;0.000000
problem_10_100_2_2;159;146;0.000000
problem_10_100_2_3;330;308;0.000000
problem_10_100_2_4;481;441;0.000000
problem_10_100_2_5;434;440;0.000000
problem_10_100_3_1;141;91;0.000000
problem_10_100_3_2;183;123;0.000000
problem_10_100_3_3;248;188;0.000000
problem_10_100_3_4;433;363;0.000000
problem_10_100_3_5;501;421;0.000000
problem_10_100_4_1;91;91;0.000000
problem_10_100_4_2;123;123;0.000000
problem_10_100_4_3;226;226;0.000000
problem_10_100_4_4;429;429;0.001001
problem_10_100_4_5;468;468;0.000000
problem_10_500_1_1;873;291;0.000000
problem_10_500_1_2;1450;830;0.000993
problem_10_500_1_3;2396;877;0.000000
problem_10_500_1_4;2348;1357;0.000000
problem_10_500_1_5;2814;2805;0.000000
problem_10_500_2_1;403;369;0.000000
problem_10_500_2_2;854;810;0.000000
problem_10_500_2_3;884;858;0.000000
problem_10_500_2_4;1494;1335;0.000000
problem_10_500_2_5;2878;2754;0.000000
problem_10_500_3_1;537;497;0.000000
problem_10_500_3_2;1017;977;0.000000
problem_10_500_3_3;792;722;0.000000
problem_10_500_3_4;1642;1562;0.000000
problem_10_500_3_5;2851;2771;0.000000
problem_10_500_4_1;491;491;0.000000
problem_10_500_4_2;1098;1098;0.000000
problem_10_500_4_3;1025;1025;0.000000
problem_10_500_4_4;1600;1600;0.000000
problem_10_500_4_5;3068;3068;0.000000
problem_10_1000_1_1;2098;786;0.000000
problem_10_1000_1_2;4084;1785;0.000000
problem_10_1000_1_3;2993;2320;0.000000
problem_10_1000_1_4;4649;2367;0.000000
problem_10_1000_1_5;4213;5123;0.000000
problem_10_1000_2_1;1207;991;0.000000
problem_10_1000_2_2;2047;1819;0.000000
problem_10_1000_2_3;2661;2355;0.000000
problem_10_1000_2_4;2477;2230;0.000000
problem_10_1000_2_5;5336;5367;0.000000
problem_10_1000_3_1;1030;990;0.000000
problem_10_1000_3_2;2182;2132;0.000000
problem_10_1000_3_3;2264;2204;0.000000
problem_10_1000_3_4;2549;2469;0.000000
problem_10_1000_3_5;4006;3926;0.001002
problem_10_1000_4_1;905;905;0.001001
problem_10_1000_4_2;2018;2018;0.000000
problem_10_1000_4_3;2261;2261;0.000000
problem_10_1000_4_4;2600;2600;0.000000
problem_10_1000_4_5;4568;4568;0.000000
