INSTANCE;VALUE_BF;WEIGHT_BF;EXECUTION_TIME_BF
problem_10_50_1_1;159;50;0.007004
problem_10_50_1_2;214;61;0.005003
problem_10_50_1_3;199;121;0.004002
problem_10_50_1_4;246;221;0.009007
problem_10_50_1_5;213;242;0.004003
problem_10_50_2_1;64;50;0.008005
problem_10_50_2_2;79;61;0.007005
problem_10_50_2_3;130;122;0.009005
problem_10_50_2_4;233;228;0.004003
problem_10_50_2_5;238;237;0.004002
problem_10_50_3_1;79;49;0.006003
problem_10_50_3_2;135;75;0.005004
problem_10_50_3_3;182;112;0.004002
problem_10_50_3_4;308;238;0.007004
problem_10_50_3_5;290;200;0.004002
problem_10_50_4_1;51;51;0.005053
problem_10_50_4_2;79;79;0.008005
problem_10_50_4_3;113;113;0.004503
problem_10_50_4_4;238;238;0.008005
problem_10_50_4_5;204;204;0.004504
problem_10_100_1_1;198;86;0.004503
problem_10_100_1_2;371;145;0.008005
problem_10_100_1_3;324;342;0.004503
problem_10_100_1_4;507;462;0.054535
problem_10_100_1_5;481;433;0.008004
problem_10_100_2_1;117;100;0.004001
problem_10_100_2_2;159;146;0.067044
problem_10_100_2_3;366;347;0.026017
problem_10_100_2_4;497;459;0.008506
problem_10_100_2_5;445;449;0.004272
problem_10_100_3_1;141;101;0.027019
problem_10_100_3_2;185;125;0.005506
problem_10_100_3_3;298;238;0.006004
problem_10_100_3_4;507;437;0.004503
problem_10_100_3_5;575;495;0.005003
problem_10_100_4_1;101;101;0.004002
problem_10_100_4_2;129;129;0.004503
problem_10_100_4_3;238;238;0.008005
problem_10_100_4_4;437;437;0.006003
problem_10_100_4_5;495;495;0.006004
problem_10_500_1_1;949;464;0.007506
problem_10_500_1_2;1450;830;0.004502
problem_10_500_1_3;2396;877;0.008004
problem_10_500_1_4;2348;1357;0.022513
problem_10_500_1_5;2814;2805;0.016510
problem_10_500_2_1;541;528;0.009506
problem_10_500_2_2;875;868;0.004502
problem_10_500_2_3;942;890;0.004503
problem_10_500_2_4;1501;1387;0.006504
problem_10_500_2_5;2990;2935;0.005003
problem_10_500_3_1;537;497;0.004504
problem_10_500_3_2;1189;1149;0.004502
problem_10_500_3_3;1108;1038;0.004503
problem_10_500_3_4;1703;1633;0.018011
problem_10_500_3_5;3159;3079;0.008504
problem_10_500_4_1;498;498;0.005003
problem_10_500_4_2;1154;1154;0.012508
problem_10_500_4_3;1038;1038;0.004002
problem_10_500_4_4;1637;1637;0.008505
problem_10_500_4_5;3079;3079;0.004504
problem_10_1000_1_1;2287;964;0.004503
problem_10_1000_1_2;4089;1879;0.007006
problem_10_1000_1_3;3183;2616;0.024517
problem_10_1000_1_4;4649;2367;0.033021
problem_10_1000_1_5;4213;5123;0.008504
problem_10_1000_2_1;1207;991;0.004503
problem_10_1000_2_2;2047;1819;0.004502
problem_10_1000_2_3;2864;2616;0.007005
problem_10_1000_2_4;2561;2386;0.025517
problem_10_1000_2_5;5336;5367;0.008504
problem_10_1000_3_1;1030;1000;0.004503
problem_10_1000_3_2;2183;2153;0.013008
problem_10_1000_3_3;2338;2288;0.004502
problem_10_1000_3_4;2703;2633;0.012008
problem_10_1000_3_5;4800;4730;0.005003
problem_10_1000_4_1;1000;1000;0.011507
problem_10_1000_4_2;2153;2153;0.049032
problem_10_1000_4_3;2288;2288;0.005003
problem_10_1000_4_4;2633;2633;0.009506
problem_10_1000_4_5;4730;4730;0.005504
